label,text
Intellectual Property,"Each party hereby grants to the other a non-exclusive, limited ------- license to use its trademarks, service marks or trade names only as specifically described in this Agreement."
Non-Compete,"Neither party will solicit for employment any employee of the other party during the active term of this Agreement and further, where applicable, the term of any active Work Order."
Non-Compete,The spinwares and spinstore will be modified to include licensed content purchased directly from Spinrecords.com and to eliminate products that will compete with the Nettaxi store.
Audit Rights,"MediaNet shall permit Member Provider or its designees reasonable access during normal business hours and, upon request, to verify funds and payments due pursuant to this Agreement."
Auto-Renewal,We shall give you written notice of our election not to renew the franchise at least three (3) months prior to the expiration of the initial or first renewal term of this Agreement.
Liability,"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INDIRECT, EXEMPLARY OR CONSEQUENTIAL DAMAGES ARISING OUT OF THIS AGREEMENT OR PURCHASE OR USE OF THE PRODUCTS."
Intellectual Property,"IBM grants Customer a nonexclusive, nontransferable, revocable license to access and use the Base Components solely in connection with the Services as provided under this Agreement."
Change of Control,Columbia shall have the right to terminate this Agreement upon [***] notice to Fleet in the event: <omitted> (ii) a Change of Control Event with respect to Fleet occurs; (Pages 9-10)
Dispute Resolution,"Company agrees that it shall not seek to register or obtain ownership rights in any of Janssen's corporate names, logos, or Product Trademarks (or any confusingly similar trademark)."
Auto-Renewal,"This Agreement may be renewed for an additional term of ten (10) years by notice in writing given by XFN to CEIS at the expiry of the Term, for a consideration to be mutually agreed."
Exclusivity,"Celebrity represents and warrants that during the Term and in the Territory, Celebrity will not endorse or make any appearances or advertisements on behalf of any other multivitamin."
Auto-Renewal,"The Agreement rests, for all that, cancellable at any time by any of the parties before the expiry date of the Agreement or any of itsrenewals, upon three months prior written notice."
Payment Terms,"Converge shall pay to VNE a minimum fee of Four and One-Half Million Dollars ($4,500,000) for VNE's provision of the Services during the Initial Term (the ""Initial Term Minimum Fee"")."
Intellectual Property,"In the event Galacticomm, Inc. chooses to terminate this agreement, Horst Entertainment Inc. will have the right to purchase a license copy of the software in the amount of $15,000.00."
Insurance,STW shall administer and provide all necessary and reasonable insurance to insure its activities on the Property in relation to the AGREEMENT and shall list COFS as additional insured.
Auto-Renewal,The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.
Dispute Resolution,ISO agrees to never contest the ownership of these marks and Visa and/or MasterCard may at any time immediately and without advance notice prohibit ISO from using their respective marks.
Auto-Renewal,This Agreement shall automatically renew for successive one-year terms unless one party gives the other party written notice of non-renewal at least six months prior to automatic renewal.
Auto-Renewal,"By either Vendor or Distributor, upon written notice of termination of this Agreement no later than ninety (90) calendar days prior to the expiration of the relevant Term, then in effect;"
Liability,"IN NO EVENT SHALL EITHER FMI OR ROCHE BE LIABLE FOR SPECIAL, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES ARISING OUT OF THIS AGREEMENT BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY."
Auto-Renewal,This Agreement will renew automatically thereafter for successive one-year terms unless and until one Party gives notification of termination with at least sixty (60) days written notice.
Non-Compete,"During the Term, the Reseller agrees that it shall not induce any person employed by Diversinet to leave Diversinet's employ to become an employee of Reseller or its agents or contractors."
Warranty,"FCC shall promptly, but in no event later than three (3) days after the date of such purchase order, confirm its acceptance or rejection of such purchase order by written notice to Flotek."
Intellectual Property,"Such license is a non-exclusive, non-transferrable and worldwide license and shall include the right to use, reproduce, copy and publish the Content solely in connection with the Software."
Non-Compete,We will not grant other franchises nor establish our own Unit Franchises within the Master Territory during the term of this Agreement unless you do not meet the Minimum Development Quota.
Audit Rights,"Each of the Parties may, at its own expense, audit the other Party's compliance with this Agreement, including but not limited to, auditing the other Party's representations and warranties."
Auto-Renewal,"IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties"
Audit Rights,"Either Party shall have the right from time to time to audit and make extracts of the books and records of the other, insofar as said books or records pertain to the terms of this Agreement."
Payment Terms,"In consideration of providing the Services set forth in Exhibit B, the Company agrees to pay to Contractor [ ** ] percent ([ *‚àó ]%]) of Company's Gross Invoiced Sales (the ""Service Fees"")."
Warranty,"Within Seven (7) days of receipt of such Products, Distributor will notify Company of any shortages, defects, non-conformance, and Company will promptly replace such Products free of charge."
Audit Rights,Company shall make said books available to North or North's representative on reasonable notice during the Term of this Agreement and the two (2) year period immediately following thereafter.
Non-Compete,Marketing Affiliate shall not directly or indirectly solicit an existing business customer of Equidata during the term and condition of this Agreement other than for joint marketing purposes.
Payment Terms,"The Parties agree to share any revenue generated as a result of this Agreement, or Customer's use of the Services or the Auction Platform, as set forth and detailed in each applicable Exhibit."
Payment Terms,"In consideration for providing these Services, AVDU shall pay UTK $120,000 worth of unregistered shares of common stock (31,413 shares) upon the execution of this Strategic Alliance Agreement."
Liability,"Nothing in this Section ​8.7 shall operate to limit or exclude any liability under Section ​8.5 with respect to a Claim, or for fraud, or for breach by a Party of the provisions of Article ​7."
Payment Terms,"To provide a minimum of seven thousand (7000) acres for the Primary Project to be identified by each individual lot, including size, and its placement in the annual rotation as per SCHEDULE A."
Intellectual Property,"Where appropriate and to the extent required, each party undertakes to grant a royalty free license to the other Party solely for the design and development of product(s) under this Agreement."
Payment Terms,"A minimum of [***] in mutually agreed upon EME financing will be contracted for by the Parties, with a minimum of [***] of such aggregate amount to be contracted for in each of [***] and [***]."
Exclusivity,"HPS agrees to outsource to SHPS, and hereby appoints SHPS as the exclusive provider of, Care Management Services to the Clients, subject to the terms and conditions set forth in this Agreement."
Dispute Resolution,"Diplomat agrees that it will not at any time during the term of this Agreement or thereafter attack (i) KI, Inc.'s title to, or rights in and to, KI's name or (ii) the validity of this license."
Change of Control,"In the case of reorganization, merger, consolidation, or sale of all or substantially all of its assets, any attempt to assign this Agreement other than as permitted above will be null and void."
Auto-Renewal,In the case that the company would not like to extend the terms of agreement for an additional month. The company must notify the consultant within 5 days of the conclusion of the 12 month term.
Exclusivity,"Agent's appointment shall be exclusive for the Kallo Mobile care suite of products and services marked in Schedule A to this Agreement. (Page 5) Exclusivity is granted for the region of Nigeria,"
Audit Rights,CSA shall have the right to request an independent audit of the sales of the Product containing the Property which the Company agrees to assist within a reasonable period of time of such request.
Exclusivity,"Although we will not seek to operate or grant others the right to operate a The Joint Corp. Location within the same general area as the Premises, we make no guarantee of any protected territory."
Non-Compete,"Reseller shall not import, promote, distribute, license, market or sell any products in <omitted> the Territory which directly compete with the TouchStar Software or Support Services. (Pages 4-5)"
Intellectual Property,"Party A owns the sole and exclusive right of the intellectual property, including any improvement, upgrades and derived products, no matter whether such products are created by Party A or Party B."
Liability,"In the event that Party B breaches this covenant, Party A has the right to terminate this Agreement at any time and require Party B to pay 30% of Party A's share of revenues as liquidated damages."
Exclusivity,No marketing exclusivity in any category or with respect to any competitors of Sponsor is conferred or implied by this Agreement except to the extent explicitly set forth in the Agreement Summary.
Payment Terms,"During the Term of the Agreement and subject to the terms and conditions of the Agreement, Imprimis shall pay to Surgical Sales Commissions equal to ten percent (10%) of the Net Sales for Product."
Intellectual Property,"NCB agrees that NPC may use NCB's name and its BIN, ICA and any other Visa and MasterCard identification numbers to the extent necessary or appropriate to perform the Merchant Processing Services."
Intellectual Property,"Following the expiration of the Term pursuant to clause (a) (but not clause (b)) of Section 12.1.1, the grants in Section 5.1.3 shall become non-exclusive, fully-paid, royalty-free and irrevocable."
Payment Terms,"In the event that HDI fails to have the Site fully operational within seventy (70) days from the date of this Agreement, the Company shall have the right to terminate this Agreement without penalty."
Liability,"The sole and exclusive remedy for any breach of this IP Agreement, including the representations and warranties and covenants herein, shall be as set forth in Article 8 of the Acquisition Agreement."
Dispute Resolution,"Licensed Users shall not challenge the validity of the Licensed Mark, nor shall Licensed Users challenge Licensor's ownership of the Licensed Mark or the enforceability of Licensor's rights therein."
Audit Rights,"Within thirty (30) calendar days of the arrival of each lot of API at the manufacturing facility designated by INTERSECT, INTERSECT shall inspect and test each lot of API at its own cost and expense."
Intellectual Property,"The licenses granted to Vyera under this Agreement shall not be transferrable and/or sublicensable without CytoDyn's written consent, which it may grant, condition or withhold in its sole discretion."
Intellectual Property,"Cisco's policy is that Software, whether Standalone or Embedded, is not transferable, except where a listed exception below applies, and except, of course, where Cisco's contract expressly allows it."
Payment Terms,"Pey Dirt has the right to terminate this Agreement immediately if Company's Endorsed Products are not being distributed in the Contract Territory to a significant number of stores by October 1, 1999."
Liability,"The provisions of Section 9.1 and Section 9.2 will not apply to limit the Licensee's indemnification obligations under Section 8.2, or in the case of Licensee's gross negligence or wilful misconduct."
Non-Compete,Section 19.3.3 above will not apply to your ownership of less than five percent (5%) beneficial interest in the outstanding equity securities of any publicly-held <omitted> corporation. (Pages 52-53)
Dispute Resolution,"Company shall not, during the period of this Agreement, or any time thereafter, challenge Association's exclusive ownership or registration of Association's Marks, including any and all moral rights."
Auto-Renewal,"This Agreement shall have a term of four (4) years from the effective date first set forth above, and shall automatically renew for additional one year terms unless earlier terminated by either party."
Auto-Renewal,"At any time prior to the end of the Term, the Parties may agree in writing to extend the Agreement for successive One (1) Year periods (the ""Renewal Terms"") under the same conditions set forth herein."
Intellectual Property,"IBM grants Customer an irrevocable, nonexclusive, worldwide, paid-up license to use, execute, reproduce, display, and perform copies of such Materials and distribute within Customer's Affiliates only."
Payment Terms,"In consideration for providing these Services, MKOS shall pay UTEK $120,000 in the form of unregistered shares of common stock (923,077 shares) upon the execution of this Strategic Alliance Agreement."
Dispute Resolution,"Allied shall not at any time do, or cause to be done, directly or indirectly any act that may impair or tarnish any part of Newegg's goodwill and reputation in the Newegg Marks and the Newegg Products."
Non-Compete,"During the Term, of this Agreement and for an additional period of two (2) years from the date of termination of this Agreement, the Contractor undertakes not to develop on its own account any Product."
Auto-Renewal,The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.
Auto-Renewal,"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof"
Insurance,Customer specifically agrees to maintain insurance coverage for any finished Products or materials which passes to Customer pursuant to this Agreement and which is stored on the premises of Contractor.
Intellectual Property,LICENSEE is also granted a limited non-transferable non-exclusive license to Licensed Source Code to perform software maintenance functions according the terms set forth in Article 7 of this Agreement.
Audit Rights,Network 1 shall have the right to inspect the Local Offices during normal business hours to insure compliance by Affiliate with is obligations pursuant to Section 1.02 [LOCAL OFFICE (AFFILIATE OFFICE)].
Auto-Renewal,"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof."
Dispute Resolution,"Distributor shall not take any actions, or aid or assist any other party to take any actions that would infringe upon, harm or contest the proprietary rights of Company in and to the Brand and Products."
Non-Compete,"Upon written request of Client, EFS shall discontinue or modify any Advertisement that in the reasonable opinion of Client is not appropriate for the Client brand or is competitive with Client business."
Liability,"IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES RESULTING FROM THE LICENSE GRANTED PURSUANT TO THIS AGREEMENT OR THE USE OR COMMERCIAL DEVELOPMENT OF PRODUCT."
Dispute Resolution,"TKCI affirms that it shall not have any claim towards SIC if the management decides not to sign the agreement in the investigation stage, and before any agreements are signed, for any reasons whatsoever."
Intellectual Property,The fees include the (i) use of the Mobility Management Services; (ii) unlimited iPass network access (except for certain premium in-flight Wi-Fi Services); and (iii) iPass Hosted Authentication Service.
Payment Terms,"The Use Fees shall remain the same as in the Initial Period and the fee for the Services shall not exceed $7000 for additional journals, $2000 maintenance fee on existing journals and $2000 per Gigabyte."
Payment Terms,Franchisee or third party sub -franchisees shall be under an obligation to set up at least 6 (six) Smaaash Centres during the first Contract Year or any other time period as may be provided by Franchisor.
Liability,"COMPANY will pay JHU a fee equal one percent (1%) of the Aggregate Consideration received by the COMPANY, or the total amount received by stockholders of COMPANY, upon the occurrence of a Liquidity Event."
Exclusivity,"During the term of this Agreement, Sabco will not ----------- represent or accept as a primary, secondary, or associate sponsor any other company reasonably deemed to be competitive with Prolong products."
Liability,IBM will give Customer a credit equal to the amount Customer paid IBM for the applicable Materials or for use of the applicable Base Components up to a maximum of twelve (12) months of applicable charges.
Non-Compete,"The Contractor and the Customer will not be allowed to employ employees of the other party, directly or indirectly, for one (1) year from the date the employee has ceased to be employed by the other party."
Non-Compete,The Destination shall not contain any links to any third party sites for the purchase of Competitor's Goods; provided that the Destination will link to the Co-Host Site (which will sell Competitor's Goods).
Auto-Renewal,"This Agreement shall be for an initial term of five (5) years, and unless earlier terminated in accordance with this Agreement, shall automatically renew for an additional term of five (5) years thereafter."
Auto-Renewal,"mPhase shall have the right to annually renew this agreement for a period of one year upon each annual expiration with the written consent of Lucent, which written consent shall not be unreasonably withheld."
Liability,THE PARTIES ACKNOWLEDGE THAT LIQUIDATED DAMAGES PAYABLE BY YOU UNDER THIS AGREEMENT (WHETHER PRE-OPENING LIQUIDATED DAMAGES OR LIQUIDATED DAMAGES FOR EARLY TERMINATION) ARE NOT PUNITIVE OR EXEMPLARY DAMAGES.
Intellectual Property,"Upon the terms and subject to the conditions of this Agreement, Developer hereby grants to Distributor an exclusive, non-transferable fight and license to market and distribute the Products in the Territory."
Warranty,Google warrants that the Distribution Products will for a period of [ * ] from the date of their supply to Distributor be free from any defect which has a materially adverse effect on their use or operation.
Change of Control,"In the event Agent changes its legal structure or undergoes a substantial change in ownership of its stock or other ownership interest, Kallo shall have the option of immediate termination of this Agreement."
Payment Terms,"During the Term of this Agreement, Premier shall be required to purchase a Minimum Annual Order Volume (""MAOV"") of [***] (""Units"") for the twelve-month period commencing July 1, 2018 and ending June 30, 2019."
Auto-Renewal,This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.
Intellectual Property,You do not have any right to sublicense or subfranchise others within or outside of the Designated Area and do not have the right to operate more than one (1) Franchised Restaurant within the Designated Area.
Non-Compete,"The Distributors will not develop, manufacture or sell any equipment or service, which in any way can be considered to be competitive to the equipment or service offered by Lucid to the Distributor as Product."
Payment Terms,"REIT agrees to pay CONSULTANT the following consulting fees, for services performed by CONSULTANT: <omitted> 2. Annual stock grants as awarded by the Compensation Committee of the Company's Board of Directors."
Intellectual Property,Lucid agrees that the Distributor may use the appropriate trademarks to promote the sale of products in the Territory. Such use is only with Lucid's permission and must be related to the sale of Lucid products.
Intellectual Property,"HealthGate hereby assign all present and future copyright in the Blackwell Specification to the Publishers. (Page 3) HealthGate hereby assigns all right, title and interest in and to the same to the Publishers."
Exclusivity,"Upon the effective date of this agreement COMWARE shall have the exclusive right to purchase, at the DISCOUNTS described below, and resell Products to potential customers during the Initial Distribution Period,"
Auto-Renewal,"This Agreement will automatically renew for additional 1-year terms unless earlier terminated pursuant to this Agreement's express provisions (together with the Initial Term, such additional periods the ""Term"")."
Auto-Renewal,"This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date."
Auto-Renewal,This Agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.
Non-Compete,WPT or its affiliates shall not authorize a Zynga Competitor to commercially exploit the Licensed Property in connection with social poker gaming via a license similar to the license granted herein for the Term.
Insurance,"Each party shall carry appropriate and commercially reasonable amounts of insurance adequate for the activities detailed in this Agreement, as well as sufficient levels of all legally mandated insurance, if any."
Non-Compete,"Further, Marketing Affiliate shall not market similar products from competing companies on any Web Site Landing Page containing the Equidata or Marketing Affiliate Web link as long as this Agreement is in effect."
Exclusivity,Reseller shall not obtain the TouchStar Software or Support Services (or any software or services which compete with the TouchStar Software) for sale from any Entity other than TouchStar or its authorized agents.
Payment Terms,"Party A shall charge Party B energy saving service fee according to the income from CDQ waste heat power generation station. (Page 3) Each party shares 50% of the policy rebate, award, and preferential treatment."
Change of Control,"In the event a party undergoes a Change of Control Event as defined in Section 14.5, the other party may terminate the Agreement upon thirty (30) days written notice to the party undergoing the Change of Control."
Warranty,"Change Orders do not however cover any bug or glitch fixing produced out of the code written by Developer as any ""bug"" will be fixed by Developer for free up to 3 months after final delivery (Bug Fixing Warranty)."
Non-Compete,"Party A may not make any identical or similar cooperation regarding the real estate and home furnishing information, products and data in its real estate and home furnishing channel with any competitor of Party B."
Non-Compete,"Notwithstanding the foregoing, this Section 2.2 shall not be deemed to apply to agreements executed prior to the date of this Agreement between the HOF Entities and Johnson Controls, Inc. or any of its affiliates."
Non-Compete,"In the event that ISA wishes to carry out any software development work of any nature during the Non-Competition Period, it will notify Rubicon of the same and allow Rubicon the opportunity to pitch for such work."
Liability,"The arbitrator shall not award any Party punitive, exemplary, multiplied or consequential damages, and each Party hereby irrevocably waives any right to seek such damages in arbitration or in judicial proceedings."
Auto-Renewal,"This Agreement shall be automatically renewed for an additional one year period on each anniversary of the Effective Date, unless terminated by either Party hereto upon ninety (90) days written notice to the other."
Intellectual Property,"We grant to you and you accept a limited, non-exclusive License to use the Marks and the System during the Term at, and in connection with, the operation of the Hotel in accordance with the terms of this Agreement."
Exclusivity,"Distributor shall (a) procure the Products solely from STAAR (or its affiliates) (Page 1) Subject to Section 8.3, Distributor's right to market, distribute and sell the Products in the Territory shall be exclusive."
Auto-Renewal,This agreement shall automatically renew for successive six (6) month periods unless written notice is provided of either party's intent not to renew at least six (6) months before the end of the then-current term.
Non-Compete,MKOS will not seek to acquire any technologies presented to MKOS by UTEK from the technology developer directly or indirectly for a period of 24 months following the termination of this Strategic Alliance Agreement.
Change of Control,"This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party."
Non-Compete,"Notwithstanding the foregoing, it is understood that Auriemma has no control or influence over any decisions by the University of Connecticut to enter into any arrangement or agreement with any Berkshire Competitor."
Audit Rights,All such records required to be created and maintained pursuant to Section 2.12(a) shall be kept available at the Operator's office and made available for the Owner's inspection upon request at all reasonable times.
Dispute Resolution,"LEA shall not at any time do or cause to be done any act, omission, or thing contesting or in any way impairing or tending to impair any part of T&B's right, title and interest in the Licensed Intellectual Property."
Intellectual Property,"Subject to the terms and conditions of this Agreement, Igene shall transfer and assign, or cause to be transferred and assigned, to the Operating Company the Transferred Assets described in Appendix 3.2. (Pages 4-5)"
Change of Control,"In the event more that there is a change in ownership representing fifty percent (50%) or more of the equity ownership of either party, the other party may, at its option, terminate this Agreement upon written notice."
Liability,"Each of the Parties expressly waives and agrees not to seek indirect, consequential, punitive or exemplary damages of any kind with respect to any dispute arising out of or relating to this Agreement or breach hereof."
Audit Rights,"Dolphin shall permit any duly authorized representative of DGT, during normal business hours and at DGT's sole risk and expense, to enter upon and into any premises of Dolphin for the purpose of inspecting the service."
Auto-Renewal,Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.
Warranty,"Customer or its designees shall, within a period of [* * *] after the date of physical receipt of any shipment of Product from Supplier, inspect the Product for any shortages or any defects or deviations of the Product"
Auto-Renewal,"Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any."
Auto-Renewal,"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice."
Exclusivity,"In order to allow SC&W to expand the distribution system in Nevada with select and controlled subagents, an exclusive agency agreement will be negotiated which will spell out the terms and conditions of the relationship."
Auto-Renewal,"This Agreement shall automatically be renewed for successive one (1) year increments unless either party request in writing, at least ninety (90) days prior to the anniversary date, that this Agreement not to be renewed."
Auto-Renewal,"This Agreement shall be automatically renewed for additional successive one (1) year periods, unless written notice of non-renewal is received no later than six (6) months prior to the expiration of the then current term."
Exclusivity,Lucid appoints the Distributor and the Distributor accepts appointment as an exclusive authorized Lucid Distributor. (Page 1) The Distributor is appointed as an exclusive Distributor within the following territories: [*].
Auto-Renewal,"Thereafter, the Maintenance Term shall automatically renew for successive period, 12 months, on the terms and conditions of this Agreement unless Bank of America terminates Maintenance Services pursuant to this Agreement."
Non-Compete,"Talent represents and warrants that during the Term and in the Territories, Talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to ESSI's products."
Intellectual Property,"The Supplier hereby grants to the Distributor the non-exclusive right, in the Territory, to use the Trade Marks in the promotion, advertisement and sale of the Products, subject to, and for the duration of, this agreement."
Audit Rights,University will provide ArTara and CRO the opportunity to examine the originals of medical records and supporting records for the Program Data at the University during normal business hours and at mutually agreeable times.
Audit Rights,"SHPS shall have the right, upon reasonable prior written notice, to examine, copy and audit such records. Such audit shall be conducted at the location where such records are maintained and shall be at the expense of SHPS."
Auto-Renewal,"After the Initial Term, this Agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination."
Audit Rights,"Until one (1) year after the expiration of the Profit Participation of each Project, the books and records will be available for inspection by a certified accounting firm or CPA once per year upon reasonable advance notice."
Intellectual Property,"Tripath grants to Distributor a non-exclusive license to use Tripath's trademarks, trade names and service marks only in connection with the Products and in the performance of Distributor's obligations under this Agreement."
Payment Terms,PageMaster Corporation will pay Go Call $3.00 per pager (beginning with pager # 1) and 5% of all airtime renewal revenue for each pager redeemed for this promotion consistent with the terms of paragraph 6b of this Agreement.
Payment Terms,A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter. (Page 2) The NFLA-NC will donate 15% of the above described proceeds to the NFLA.
Dispute Resolution,"At no time shall IAC challenge or assist others to challenge the Sonos Marks, or registrations thereof, or attempt to register any trademarks, service marks, trade names or other marks confusingly similar to the Sonos Marks."
Payment Terms,"Dr. Murray will receive an annual royalty on net sales (defined as gross sales minus returns) for any products (the ""Dr. Murray Products"") developed by Dr. Murray for EHN for as long as the Dr. Murray Products are being sold"
Intellectual Property,"Under the terms and conditions of this Agreement, VOTOCAST hereby grants to Licensee a nonexclusive, nontransferable license, to access the Services and provide Licensee's users (""Licensee Users"") with access to the Services."
Payment Terms,"The prices payable by Ultragenyx to Cremer for the Product (the ""Price"") shall be agreed [***] every contract year; provided, that the Price may not increase more than the [***] for such period or [***]%, whichever is higher."
Auto-Renewal,"This Agreement shall automatically extend for an additional two (2) years on the same terms herein (""Renewal Term"") provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term."
Auto-Renewal,"If Distributor complies with all of the terms of this Agreement, the Agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein."
Payment Terms,"Division of Income and Losses. All income and credits, and all losses and deductions shall be owned and shared among the Joint Venturers as follows: 50% to Collectible Concepts Group, Inc. 50% to Pivotal Self Service Tech, Inc."
Exclusivity,"During the Term of this Agreement and within the Contract Territory, North agrees not to enter into an agreement with another company or entity for the purpose of endorsing or promoting products similar to the Endorsed Products."
Warranty,"Unless Liquidmetal notifies Eutectix that the Liquidmetal Product does not meet the Specifications within thirty (30) calendar days after receipt of the Liquidmetal Product, then the Liquidmetal Product shall be deemed Accepted."
Auto-Renewal,"This JSMA will be terminated as of the end of the Term or any Renewal Term, by either Party giving written notice of non-renewal to the other Party no less than 120 prior to the applicable expiry date (the ""Termination Period"")."
Liability,"NOTWITHSTANDING ANYTHING TO THE CONTRARY HEREIN, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, WHETHER FORESEEABLE OR NOT, THAT ARE IN ANY WAY RELATED TO THIS AGREEMENT."
Auto-Renewal,"Thereafter, this agreement will renew automatically from year to year unless cancelled in writing by either Party giving the other written notice of such cancellation a minimum of 60 days before the end of the then current term."
Auto-Renewal,Term: twelve (12) months from the date of the Agreement which term shall automatically renew for an additional twelve (12) months on such date if the Agreement is not otherwise terminated according to Section 8 of the Agreement.
Exclusivity,"The Company hereby appoints and grants Distributor the exclusive right to sell the products of the Company, including the Snotarator™ Nasal Aspirator, (""Products"") listed in the current ""Price List"" (Exhibit ""A"" attached hereto)."
Non-Compete,"Unless accepted by the Principal, the Distributor agrees that during the term of this Agreement, the Distributor, either directly or indirectly, shall handle no products that are competitive with the Products within the Territory."
Insurance,Power2Ship is advised to obtain and maintain property and casualty insurance for the Equipment against all risks of loss or damage. (Page 4) The amount of such insurance shall not be less than the replacement cost of the Equipment.
Auto-Renewal,"The term of this Agreement is twelve (12) months from the date hereof, and will be automatically renewed for one (1) additional twelve month period unless either party shall notify the other in writing of its intention not to renew."
Intellectual Property,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY."
Audit Rights,"Upon reasonable notice to Distributor, Distributor shall make such books and records available to Developer, at Distributor's place of business during normal business hours, to audit the payments being made by Distributor hereunder."
Auto-Renewal,"This Agreement may be renewed for additional periods of one (1) year (each such additional period, a ""Renewal Term"") unless either Party provides notice of nonrenewal upon not less than [***] prior written notice to the other Party."
Payment Terms,"During the Term of this Agreement, either Party may request an increase or decrease of the Fees specified in Exhibit C no more than [* * *] and such change in Fees shall take effect on [* * *] for which such Fee change is requested."
Auto-Renewal,"The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"")."
Change of Control,"In the event of any material change in the organization, ownership, management or control of the business of the Agent, the Company may, at its option, terminate this Agreement upon giving written notice of termination to the Agent."
Liability,"EXCEPT IN THE EVENT OF A CLAIM UNDER SECTION 10 OR FAILURE TO PAY UNDER SECTION 6, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE <omitted> OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER."
Audit Rights,"On reasonable notice, each party shall have the right to examine said books and records; provided that such examination will be made no more than twice in any given twelve month period, and shall be made during normal business hours."
Dispute Resolution,"Franchisee shall not challenge, directly or indirectly, Franchisor's interest in, or the validity of, any Franchisor Property, or any application for registration or trademark registration thereof or any rights of Franchisor therein."
Auto-Renewal,"This agreement shall renew automatically each year thereafter, unless either party serves written notice of its intention not to renew, on the other at least 90 days prior to the expiration of the then current term of this agreement."
Non-Compete,"During the Term of this Agreement, and for a period of one year thereafter, except as expressly provided in this Agreement, PlanetCAD shall not market any services to Customers without the prior written approval of Dassault Systemes."
Intellectual Property,"(i) Subject to the terms and conditions of this Agreement, D2 hereby grants LICENSEE a perpetual non-exclusive, worldwide license, to use Licensed Technology in Object Code format only as an incorporated part of the Licensee Product."
Change of Control,"During the Term, Supplier will promptly notify Customer in writing if at any time a Change of Control shall occur as to Supplier, such notification to be given no later than fifteen (15) days following such Change of Control. [* * *]"
Exclusivity,"Pursuant to the DA, and subject to its terms, ARGO agreed to appoint YEC as the exclusive distributor of its products in the Territory specified therein, and YEC agreed to market and distribute Argo's products in a professional manner"
Insurance,"The deposit accounts of the Bank are insured by the FDIC up to the applicable limits; and no proceedings for the termination or revocation of such insurance are pending or, to the best knowledge of the Company or the Bank, threatened."
Intellectual Property,"The Manufacturer has appointed the Customer the copyright holder of both the English and the Chinese version of the book How to achieve Super Health beyond 2000 - Advanced Edition, authored by Frank D.P. Ellis and Dr. Michael Tait M.D."
Dispute Resolution,"In addition, Neoforma shall not now or in the future contest the validity of VerticalNet's Intellectual Property. (Page 8) In addition, VerticalNet shall not now or in the future contest the validity of Neoforma's Intellectual Property"
